Question-ID,Principle,Indicators,Questions,Points,Plain-english,Explanation,Author,DAO,Search_Difficulty,Document
BSP-01,Broad Stakeholder Participation,Economic Inequality,Is the DAO 's Gini Coefficient for economic tokens less than or equal to fifty percent ( <= 50%)?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,
BSP-02,Broad Stakeholder Participation,Voting Power,Is the Banzhaf Index for each individual member less than or equal to twenty-five percent (<= 25.0%)?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,
BSP-03,Broad Stakeholder Participation,Communication,Does the DAO explicitly state that private communication channels are for sensitive or confidential matters?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,
BSP-04,Broad Stakeholder Participation,Identity,Does the DAO explicitly require members to verify that they have a unique digital identity?,50.0,Partial,"Gitcoin does not require GTC token holders to have a unique digital identity. However, Gitcoin Stewards are required to provide a brief introduction or bio of themselves as part of their Steward nomination, including: 1) Gitcoin Username, 2) ETH Address, 3) Discord Handle (optional), 4) Statement of Intention / Your Values & Reasons for Joining, and 5) Your Web3 Qualifications / Skills. Additionally, GTC holders can verify their own or someone else's identity via GTC staking.

",Charles Adjovu,Gitcoin,Hard,"Introducing Stewards Governance,GTC Staking on your Identity"
BSP-05,Broad Stakeholder Participation,Management,Does the DAO have any leadership roles?,100.0,Yes,"The leadership roles in Gitcoin are Stewards. Stewards can be self-nominated or proxy-nominated. Stewards can also serve on the Stewardship Council, that can be considered an additional leadership role in Gitcoin.",Charles Adjovu,Gitcoin,Hard,"Introducing Stewards Governance,How do I become a Gitcoin Steward?,Gitcoin Delegate Dashboard,Proposal: V2 of the Steward Council,Gitcoin Steward Council Election,V2 of the Steward Council: Nomination thread and election RESULTS"
BSP-06,Broad Stakeholder Participation,Management,Does the DAO have any management roles?,50.0,Partial,"Gitcoin's workstreams are expected to have management roles (workstreams are expected to be led by a Steward), but there is a lack of information on how management roles are defined. Additionally, a seat on the Cross Stream DAO Operations can be considered a management role.",Charles Adjovu,Gitcoin,Medium,"Gitcoin DAO Governance Process v3,CSDO - Strategy & Ops"
BSP-07,Broad Stakeholder Participation,Conduct,"Does the DAO require members to adhere to a standard of conduct, such as described in a code of conduct?",100.0,Yes,Gitcoin requires token holders to abide by the Gitcoin Code of Conduct and the Rules of Engagement on the governance forum.,Charles Adjovu,Gitcoin,Medium,"Gitcoin Code of Conduct,Forum Guidelines and Code of Conduct 2023"
BSP-08,Broad Stakeholder Participation,Language,Does the DAO provide a glossary of internal terms?,50.0,Partial,"Gitcoin defines all the relevant terms in Gitcoin's governance process. However, the terms are not collated into a single document.",Charles Adjovu,Gitcoin,Medium,Gitcoin DAO Governance Process v3
BSP-09,Broad Stakeholder Participation,Governance,Does the DAO use a participatory governance model?,50.0,Partial,"Gitcoin has a particiaptory governance system. Gitcoin utilizes a referendum system where GTC token holders vote on proposals. Regarding voting, any GTC token holder can vote on a proposal, either by voting themselves or dlegating their voting power to a Gitcoin Steward (i.e., proxy voting). Regarding proposal drafting, it appears that any GTC token holder can submit a proposal for deliberation. Though, it is unclear if holding GTC tokens is required to submit a proposal. Lastly, any GTC token holder can become a Gitcoin Steward through self-nomination and complying with the rules for Gitcoin Stewards.",Charles Adjovu,Gitcoin,Easy,Gitcoin DAO Governance Process v3
BSP-10,Broad Stakeholder Participation,Dispute Resolution,Does the DAO have an explicitly defined dispute resolution mechanism?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,
BSP-11,Broad Stakeholder Participation,Ownership,Does the DAO have a shared ownership model?,0.0,No,"GTC token holders have governance rights, but not economic rights. Though, GTC tokens are tradeable on multiple markets, giving GTC tokens an economic value.",Charles Adjovu,Gitcoin,Easy,"Introducing GTC â€“ Gitcoinâ€™s Governance Token,Gitcoin DAO Governance Process v3"
BSP-12,Broad Stakeholder Participation,Management,Does the DAO have a well-defined procedure for how members can take defined leadership or management roles?,100.0,Yes,Gitcoin's process for becoming a Steward is a self-nomination process,Charles Adjovu,Gitcoin,Easy,"How do I become a Gitcoin Steward?,Introducing Stewards Governance"
BSP-13,Broad Stakeholder Participation,Economic,Does the DAO provide members multifaceted activities to receive rewards?,50.0,Partial,"GTC token holders can work in various workstreams (e.g., Public Goods Funding or Fraud Defense and Detection) and be compensated for their contributions in GTC tokens. Though, joining a workstream is not exclusive to GTC token holders.",Charles Adjovu,Gitcoin,Easy,Gitcoin DAO Governance Process v3
CBC-01,Cross-border Coordination,Geolocation,Does the DAO have leadership from multiple geographic regions?,100.0,Yes,"Gitcoin has delegates from multiple geographic regions. Notably, Austin Griffith from Colorado, United States of America, North America, and Kris Is from Brussels, Belgium, Europe.",Charles Adjovu,Gitcoin,Hard,"Kris Is profile on Tally as a Gitcoin Delegate,Austin Griffith profile on Tally as a Gitcoin Delegate,Gitcoin Delegates on Tally,Gitcoin DAO Governance Process v3"
CBC-02,Cross-border Coordination,Geolocation,Does the DAO have members in multiple geographic regions?,100.0,Yes,"Gitcoin has delegates from multiple geographic regions. Notably, Austin Griffith from Colorado, United States of America, North America, and Kris Is from Brussels, Belgium, Europe.",Charles Adjovu,Gitcoin,Hard,"Kris Is profile on Tally as a Gitcoin Delegate,Austin Griffith profile on Tally as a Gitcoin Delegate,Gitcoin Delegates on Tally,Gitcoin DAO Governance Process v3"
CBC-03,Cross-border Coordination,Geolocation,Does the DAO have managers from multiple geographic regions?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,
PDC-01,Practicing DAO Cooperativism,Economic,Does the DAO have a collective treasury (or multisig account)?,100.0,Yes,Gitcoin has multiple multisig accounts managed on Gnosis Safe.,Charles Adjovu,Gitcoin,Medium,Gitcoin Profile on Tally
PDC-02,Practicing DAO Cooperativism,Measurement,"Does the DAO have currencies recognizing value beyond financial relations, such as labor, contributor well-being, or environmental impact?",50.0,Partial,"Gitcoin does not use a specific currency to recognize contributions beyond token holdings. However, Gitcoin does issue the Gitcoin Outstanding Steward award to the stewards/contributors with the top ten highest scores on Karma to ""recognize those who have gone 'above and beyond'."" The recipents receive a specially madeÂ POAP.Â ",Charles Adjovu,Gitcoin,Medium,"What is Gitcoin?,Introducing GTC â€“ Gitcoinâ€™s Governance Token,Tools used by GitcoinDAO,Gitcoin Outstanding Steward Award"
PDC-03,Practicing DAO Cooperativism,Identity,Does the DAO have a collective membership mark to signify membership in the DAO?,100.0,Yes,Collective Membership is signified by ownership or possession of the GTC token.,Charles Adjovu,Gitcoin,Easy,"Introducing GTC â€“ Gitcoinâ€™s Governance Token,What is Gitcoin?"
PDC-04,Practicing DAO Cooperativism,Economic,Does the DAO redistribute profits/surplus on a basis other than capital holdings?,0.0,No,GTC token holders do not earn profits/surplus on a basis other than capital holdings.,Charles Adjovu,Gitcoin,Medium,Introducing GTC â€“ Gitcoinâ€™s Governance Token
PDC-05,Practicing DAO Cooperativism,Accountability,Does the DAO have any accountability mechanisms that subject the power of leaders and managers to the members?,50.0,Partial,"Gitcoin relies on the Code of Conduct and Rules of Engagement as an accountability mechanism for GTC token holders. Additionally, Gitcoin uses a Stewards dashboard and steward scores as a means for implicit accountability of stewards. Though, there is not a formal (or explicit) accountability mechanism for delegates nor members of workstreams.",Charles Adjovu,Gitcoin,Medium,"Stewards of Gitcoin DAO,Gitcoin Code of Conduct,Forum Guidelines and Code of Conduct 2023,Gitcoin DAO Governance Process v3"
PDC-06,Practicing DAO Cooperativism,Accountability,"Does the DAO have an amendment procedure for its rules, procedures or policies?",50.0,Partial,"Gitcoin has an amendment procedure, but the amendment procedure is not well-defined.",Charles Adjovu,Gitcoin,Easy,Gitcoin DAO Governance Process v3
PDC-07,Practicing DAO Cooperativism,Accountability,Does the DAO have a decision-making matrix?,50.0,Partial,"Gitcoin has a defined governance process, described in a single document for how GTC token holders can vote on proposals. However, there was little to no information on how workstreams make decisions.",Charles Adjovu,Gitcoin,Medium,Gitcoin DAO Governance Process v3
PDC-08,Practicing DAO Cooperativism,Measurement,"Does the DAO have metrics beyond governance and finance, such as contributor well-being or happiness?",0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,
PDC-09,Practicing DAO Cooperativism,Ownership,Does the DAO have separate tokens for governance and economic rights?,50.0,Partial,"The GTC token grants holders governance rights in Gitcoin DAO. GTC token does not grant holders economic rights, but GTC tokens are used as compensation to members of workstreams. Gitcoin does not have a token granting holders economic rights.",Charles Adjovu,Gitcoin,Medium,"Introducing GTC â€“ Gitcoinâ€™s Governance Token,Gitcoin DAO Governance Process v3"
PDC-10,Practicing DAO Cooperativism,Economic,Does the DAO not make governance tokens tradeable?,0.0,No,GTC tokens are tradeable on multiple cryptocurrency markets.,Charles Adjovu,Gitcoin,Easy,Gitcoin Profile on CoinGecko
PDC-11,Practicing DAO Cooperativism,Engagement,Does the DAO provide education and training opportunities for members to meaningful participate in governance?,50.0,Partial,"Gitcoin provides multiple guides covering topics on the governance process, and Gitcoin provides a proposal template. However, there are no educational resources (e.g., courses, videos) on participating in governance.",Charles Adjovu,Gitcoin,Easy,"Gitcoin DAO Governance Process v3,Gitcoin Community Proposal (GCP) Template"
CPB-01,Cultural Patterns and Brand,Narratives,Does the DAO publish content on its activites in its' public channels?,100.0,Yes,"Gitcoin publishes updates and other announcements in the GitcoinDAO Digest on the Gitcoin Governance forum (under the News and Community category), the Gitcoin Blog, and on Gitcoin's Twitter account.",Charles Adjovu,Gitcoin,Easy,"Gitcoin Digest #1 2023,Gitcoin - Blog,Gitcoin Profile on Twitter"
CPB-02,Cultural Patterns and Brand,Identity,"Does the DAO make an explicit, clearly articulated statement of its purpose, values and norms?",100.0,Yes,"Gitcoin has an explicit, clearly articulated statement of its purpose, values and norms.  Gitcoin's vision is ""a world shaped by community-led positive change."" Gitcoin's mission is ""to empower communities to fund their shared needs."" Alternatively, Gitcoin's mission is ""to build and fund digital public goods."" Regarding values, Gitcoin's values could be open internet, open economies, and open source.
",Charles Adjovu,Gitcoin,Hard,"About Us,What is Gitcoin?,Gitcoin Bounties Mission"
IDA-01,Information & Data Transparency,Analytics,Does the DAO provide an organizational analytics dashboard?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,
IDA-02,Information & Data Transparency,Information,"Does the DAO make its governance activities (e.g., proposals, decisions) publicly accessible at free to low-cost?",100.0,Yes,Gitcoin's governance activities can be found on the Gitcoin profile on Snapshot.,Charles Adjovu,Gitcoin,Easy,"Gitcoin Profile on Snapshot,Gitcoin Governance Hub"
IDA-03,Information & Data Transparency,Information,"Does the DAO make its organizational documents (bylaws, policies, strategic plan, etc.) publicly accessible at free to low-cost?",100.0,Yes,"Gitcoin's organizational documents are publicly accessible in the Gitcoin Contributor Hub, under the DAO Policies and Documentation heading and Important Docs heading.
",Charles Adjovu,Gitcoin,Hard,"Gitcoin Contributor Hub,GCP Database,DAO Roadmaps"
IDA-04,Information & Data Transparency,Information,"Does the DAO make its technologies open source or source available, and publicly accessible at free to low-cost?",100.0,Yes,"Gitcoin makes its technological products open-source or source-available. The Grants Stack and Passport are licensed under the GNU AFFERO GENERAL PUBLIC LICENSE, Version 3, 19 November 2007. The Allo Protocol is not licensed as of writing.
",Charles Adjovu,Gitcoin,Medium,"""Grants Stack License: GNU AFFERO GENERAL PUBLIC LICENSE, Version 3, 19 November 2007"",""Passport License: Grants Stack License: GNU AFFERO GENERAL PUBLIC LICENSE, Version 3, 19 November 2007"",Allo Procotol Contracts"
IDA-05,Information & Data Transparency,Audit,"Does the DAO explicitly report whether any Web3 tools it uses, internally or externally, have been audited?",0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,
IDA-06,Information & Data Transparency,Information,"Does the DAO explicitly state that it operates on, or interacts with, more than one (1) blockchain?",100.0,Yes,Gitcoin interacts with or operates on the Ethereum blockchain and on the Ceramic Network blockchain. The GTC token is deployed on the Ethereum blockchain. The Gitcoin Passport scores utilize data from the Ceramic Network blockchain.,Charles Adjovu,Gitcoin,Medium,Why do I need to rescore my passport after collecting a new stamp?
IDA-07,Information & Data Transparency,Compensation,Does the DAO explicitly describe itâ€™s financial incentive or compensation structure for contributors?,100.0,Yes,"For contributors that are part of a workstream(s), the workstream members can be compensated for their contributions by submitting a request for ""funding from the Gitcoin DAO treasury,"" as a budget proposal, or seeking outside funding. Additionally, contributors can be compensated for finding security flaws in Gitcoin's software as part of the Gitcoin Bug Bounty Program.",Charles Adjovu,Gitcoin,Medium,"Gitcoin DAO Governance Process v3,[S14 Proposal - Amended ] DAO Operations S14 Budget Request,Gitcoin Security Bounty Program"
D2D-01,DAO2DAO,Transactions,Does the DAO have any planned transactions with another DAO?,100.0,Yes,Gitcoin is partnering with Index Coop to create Gitcoin Staked ETH Index (gtcETH).,Charles Adjovu,Gitcoin,Easy,Introducing gtcETH: A New Way to Fund Public Goods through Staked ETH
D2D-02,DAO2DAO,Transactions,Does the DAO have any current transactions with another DAO?,100.0,Yes,Gitcoin has a current transaction with Bankless DAO on the use of Passport for Bankless Academy.,Charles Adjovu,Gitcoin,Medium,Bankless Academy - A Gitcoin Passport Case Study
OT-01,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for business-to-business operations?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,
OT-02,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for treasury management?,100.0,Yes,Gitcoin utilizes Gnosis Safe.,Charles Adjovu,Gitcoin,Easy,Gitcoin Profile on Tally
OT-03,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for contribution-tracking?,50.0,Partial,"Gitcoin utilizes Karma to track Steward's governance activities. Though, the contribution-tracking does not extend to any and all contributions that can be made in Gitcoin.",Charles Adjovu,Gitcoin,Medium,"Stewards of Gitcoin DAO,Introducing Stewards Governance"
OT-04,Organizational Technology,Tool,Does the DAO currently use any Web3 organizational technology for decision-making?,100.0,Yes,Gitcoin utilizes Snapshot and a fork of Compound's Governor framework.,Charles Adjovu,Gitcoin,Easy,"Gitcoin Profile on DeepDAO,Gitcoin Profile on Snapshot,Introducing GTC â€“ Gitcoinâ€™s Governance Token,Gitcoin DAO Governance Process v3"
HCAG-01,Human-centered Algorithmic Governance,Accountability,Does the DAO explicitly acknowledge the possible vulnerabilities of algorithmic decision-making?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,
HCAG-02,Human-centered Algorithmic Governance,Engagement,"Does the DAO educate its members on the development and use of algorithms, as they pertain to the DAO?",0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,Gitcoin,Very hard,
HCAG-03,Human-centered Algorithmic Governance,Fairness & Bias,Does the DAO explicitly consider the short- and long-term social consequences of the algorithmic systems in the development and use of algorithms?,100.0,Yes,Gitcoin explicitly considers the consequences of algorithmic harms in the Understanding Potential Attack Vectors section. ,Charles Adjovu,Gitcoin,Easy,"Understanding Potential Attack Vectors,Gitcoin DAO Governance Process v3"
BSP-01,Broad Stakeholder Participation,Economic Inequality,Is the DAO 's Gini Coefficient for economic tokens less than or equal to fifty percent ( <= 50%)?,50.0,Partial,MakerDAO only provides partial information on it's Gini Coefficient.,Charles Adjovu,MakerDAO,,
BSP-02,Broad Stakeholder Participation,Voting Power,Is the Banzhaf Index for each individual member less than or equal to twenty-five percent (<= 25.0%)?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,MakerDAO,,
BSP-03,Broad Stakeholder Participation,Communication,Does the DAO explicitly state that private communication channels are for sensitive or confidential matters?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,MakerDAO,,
BSP-04,Broad Stakeholder Participation,Identity,Does the DAO explicitly require members to verify that they have a unique digital identity?,0.0,No,MakerDAO does not require members to verify that they have a unique digital identity.,Charles Adjovu,MakerDAO,,
BSP-05,Broad Stakeholder Participation,Management,Does the DAO have any leadership roles?,100.0,Yes,"Delegates and the founder, Rune Christesen,  can be considered leaders of MakerDAO",Charles Adjovu,MakerDAO,,
BSP-06,Broad Stakeholder Participation,Management,Does the DAO have any management roles?,100.0,Yes,"MakerDAO has Core Units that manage specific areas or functions related to the Maker Protocol or the DAO, e.g., the Risk teams. These Core Units are led by Facilitators, ""are the accountable individuals responsible for interfacing between Maker Governance, the Contributors, and external resources to achieve the Core Objectives of the Protocol. Facilitators are always attached to one or more Core Units and cannot exist in a void, i.e., Facilitators are Facilitators onlyÂ ifÂ they are attached to at least one Core Unit.""",Charles Adjovu,MakerDAO,,
BSP-07,Broad Stakeholder Participation,Conduct,"Does the DAO require members to adhere to a standard of conduct, such as described in a code of conduct?",50.0,Partial,MakerDAO requires recognized delegates to adhere to the Recognized Delegate Code of Conduct.,Charles Adjovu,MakerDAO,,
BSP-08,Broad Stakeholder Participation,Language,Does the DAO provide a glossary of internal terms?,100.0,Yes,MakerDAO provides a glossary of internal terms on their website.,Charles Adjovu,MakerDAO,,
BSP-09,Broad Stakeholder Participation,Governance,Does the DAO use a participatory governance model?,100.0,Yes,"MakerDAO employs a participatory governance system based on access, agency, and accountability.

1. Access
    a. MKR token holders can access governance-related information on the MakerDAO Voting Portal and MakerDAO forum
2. Agency
    a. MKR token holders can submit polls or executive votes on-chain via theÂ MakerDAO governance smart contractsÂ , interactable on the MakerDAO Voting Portal
    b. MKR token holders can become a delegate (recognized delegate or shadow delegate) via the delegation smart contract.Â Recognized delegatesÂ must complete theÂ Recognized Delegate Requirements.
    c. MKR token holders can join and discuss governance matters on the MakerDAO forum
3. Accountability
    a. MKR token holders can elect and repeal delegates (i.e., proxies) who vote on their behalf
",Charles Adjovu,MakerDAO,,
BSP-10,Broad Stakeholder Participation,Dispute Resolution,Does the DAO have an explicitly defined dispute resolution mechanism?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,MakerDAO,,
BSP-11,Broad Stakeholder Participation,Ownership,Does the DAO have a shared ownership model?,100.0,Yes,MKR token holders have both governance rights and economic rights. ,Charles Adjovu,MakerDAO,,
BSP-12,Broad Stakeholder Participation,Management,Does the DAO have a well-defined procedure for how members can take defined leadership or management roles?,100.0,Yes,MakerDAO has a well-defined procedure for becoming a Recognized Delegate (leadership role). ,Charles Adjovu,MakerDAO,,
BSP-13,Broad Stakeholder Participation,Economic,Does the DAO provide members multifaceted activities to receive rewards?,100.0,Yes,The Maker DAO core teams cover a wide array of activities.,Charles Adjovu,MakerDAO,,
CBC-01,Cross-border Coordination,Geolocation,Does the DAO have leadership from multiple geographic regions?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,MakerDAO,,
CBC-02,Cross-border Coordination,Geolocation,Does the DAO have members in multiple geographic regions?,100.0,Yes,"Maker DAO has token holders from multiple countries, including the United States of America and England (refer to London Business School).",Charles Adjovu,MakerDAO,,
CBC-03,Cross-border Coordination,Geolocation,Does the DAO have managers from multiple geographic regions?,0.0,Does not answer question,The Facilitators of Maker DAO's core units can be considered managers. ,Charles Adjovu,MakerDAO,,
PDC-01,Practicing DAO Cooperativism,Economic,Does the DAO have a collective treasury (or multisig account)?,100.0,Yes,Maker DAO has three currently approved multi-sig wallets.,Charles Adjovu,MakerDAO,,
PDC-02,Practicing DAO Cooperativism,Measurement,"Does the DAO have currencies recognizing value beyond financial relations, such as labor, contributor well-being, or environmental impact?",0.0,No,Maker DAO does not use a specific currency (only the general DAI) to recognize contributions. ,Charles Adjovu,MakerDAO,,
PDC-03,Practicing DAO Cooperativism,Identity,Does the DAO have a collective membership mark to signify membership in the DAO?,100.0,Yes,Collective Membership is signified by ownership or possession of the MKR token.,Charles Adjovu,MakerDAO,,
PDC-04,Practicing DAO Cooperativism,Economic,Does the DAO redistribute profits/surplus on a basis other than capital holdings?,0.0,Does not answer question,Unable to find an adequate source,Charles Adjovu,MakerDAO,,
PDC-05,Practicing DAO Cooperativism,Accountability,Does the DAO have any accountability mechanisms that subject the power of leaders and managers to the members?,50.0,Partial,"Facilitators of Core Units can be offboarded following MIP4c2-SP15. Though, there does not appear to be explicit language on accountability mechanisms. However, no sources found regarding accountability mechanisms for Delegates.",Charles Adjovu,MakerDAO,,
PDC-06,Practicing DAO Cooperativism,Accountability,"Does the DAO have an amendment procedure for its rules, procedures or policies?",100.0,Yes,The amendment procedure for MIPs is described in MIP4:Â MIP Amendment and Removal Process.,Charles Adjovu,MakerDAO,,
PDC-07,Practicing DAO Cooperativism,Accountability,Does the DAO have a decision-making matrix?,100.0,Yes,Maker DAO has determined the decisions major entities can have in Maker DAO.,Charles Adjovu,MakerDAO,,
